"날짜","일기 내용","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/4/2025","퇴근길에 갑자기 비가 쏟아졌다. 우산이 없어서 편의점에서 하나 샀는데, 비 오는 날의 운치가 나쁘지 않았다. 따뜻한 커피 한 잔과 함께 하루를 마무리했다. (지출: 우산 5,000원)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/6/2025","주말을 맞아 근교로 드라이브를 다녀왔다. 맑은 공기를 마시니 머리가 맑아지는 기분이었다. 맛있는 지역 음식도 먹고 힐링하는 시간을 가졌다. (지출: 고속도로 통행료 12,000원, 점심 식사 35,000원)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/9/2025","새로운 외국어 공부를 시작했다. 아직은 서툴지만, 꾸준히 하다 보면 언젠가는 유창하게 말할 수 있을 것이다. 매일 30분씩 투자하기로 했다. (지출: 온라인 강의 구독료 29,900원)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/12/2025","동료들과 저녁 식사를 함께 했다. 업무 외적인 이야기를 나누며 친목을 다질 수 있었다. 좋은 사람들과 함께 일하는 것은 큰 행운이다. (지출: 저녁 식사 20,000원 - 개인 부담금)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/17/2025","인터넷으로 주문한 물건이 도착했다. 기대했던 것보다 훨씬 마음에 든다. 소소한 행복을 느꼈다. (지출: 택배비 3,000원)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/18/2025","오늘 아침에는 유독 차가 막혀서 출근하는게 너무 힘들었다. 하루의 시작인데 벌써 삐걱거리는 느낌이 들어서 불길했지만, 다행히 주유소에 들려서 주유 60,000원어치 하고 갔는데도 지각하지 않아서 기분이 풀렸다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/19/2025","점심시간에 회사 근처 새로 생긴 샌드위치 가게에 가봤다. '에그마요 샌드위치'가 맛있다고 해서 먹어봤는데, 정말 부드럽고 든든했다. 가격은 8,500원. 다음에는 다른 메뉴도 시도해봐야겠다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/29/2025","서점에 들러 자기계발서를 한 권 샀다. 새로운 지식을 얻는 것은 언제나 즐거운 일이다. 빨리 읽어보고 싶다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/4/2026","새로 산 옷을 입고 출근했다. 기분 전환이 되는 것 같다. 작은 변화가 큰 활력을 준다.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/10/2026","은행 앱으로 가계부를 정리했다. 불필요한 지출을 줄이고 저축을 늘려야겠다고 다짐했다. 재정 관리를 철저히 하자.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
