날짜,감정,일기 내용,소비 항목,소비 금액 (원)
2025년 11월 8일,평온,오랜만에 집에서 조용히 독서를 하며 휴식을 취했다.,도서 구입,18000
2025년 11월 9일,만족,친구들과 맛있는 저녁 식사를 하며 즐거운 시간을 보냈다.,외식비,35000
2025년 11월 10일,피곤,주말 내내 밀린 집안일을 처리하느라 몸이 천근만근이었다.,생활용품,12500
2025년 11월 11일,기대,새로운 프로젝트를 시작하게 되어 설레는 마음으로 출근했다.,커피 및 간식,6500
2025년 11월 12일,답답,예상치 못한 업무 문제로 하루 종일 해결책을 찾느라 애썼다.,교통비,4800
2025년 11월 13일,후련,어려운 문제를 마침내 해결하고 홀가분한 기분으로 퇴근했다.,저녁 식재료,22000
2025년 11월 14일,행복,가족들과 함께 따뜻한 시간을 보내며 소소한 행복을 느꼈다.,영화 관람,28000
2025년 11월 15일,불안,중요한 발표를 앞두고 긴장감에 잠을 설쳤다.,비타민 구입,45000
2025년 11월 16일,성취,발표를 성공적으로 마치고 스스로에게 뿌듯함을 느꼈다.,점심 식사,9500
2025년 11월 17일,감사,동료의 도움으로 힘든 일을 잘 넘길 수 있었다.,선물 구입,15000
2025년 11월 18일,무료,특별한 일 없이 평범하고 지루한 하루였다.,온라인 게임 아이템,11000
2025년 11월 19일,활력,아침 일찍 운동을 하고 상쾌한 기분으로 하루를 시작했다.,헬스장 일일권,15000
2025년 11월 20일,걱정,갑자기 몸이 좋지 않아 병원을 방문했다.,병원 진료비,32000
2025년 11월 21일,실망,기대했던 계획이 취소되어 아쉬운 마음이 들었다.,배달 음식,21000
2025년 11월 22일,흥미,새로운 분야에 대해 배우기 시작하며 지적 호기심을 느꼈다.,온라인 강의 결제,89000
2025년 11월 23일,혼란,여러 가지 선택지 앞에서 어떤 것을 골라야 할지 고민이 많았다.,카페 음료,5500
2025년 11월 24일,위로,힘든 마음을 친구에게 털어놓고 따뜻한 위로를 받았다.,주류 및 안주,27000
2025년 11월 25일,희망,미래에 대한 긍정적인 계획을 세우며 의욕이 샘솟았다.,문구류 구입,7000
2025년 11월 26일,짜증,출퇴근길 교통 체증으로 인해 스트레스를 받았다.,주유비,60000
2025년 11월 27일,기쁨,예상치 못한 보너스를 받아 행복한 하루를 보냈다.,의류 구입,98000
2025년 11월 28일,지루,반복되는 일상에 권태감을 느꼈다.,복권 구입,5000
2025년 11월 29일,호기심,새로운 맛집을 찾아다니며 미식의 즐거움을 느꼈다.,브런치,19000
2025년 11월 30일,뿌듯,목표했던 운동량을 채우고 건강해지는 기분이었다.,단백질 보충제,42000
2025년 12월 1일,설렘,다가오는 연말을 생각하며 들뜬 마음이었다.,크리스마스 장식,38000
2025년 12월 2일,긴장,중요한 면접을 보느라 하루 종일 초조했다.,정장 드라이클리닝,15000
2025년 12월 3일,안도,"면접 결과를 기다리며 마음을 졸였지만, 좋은 소식을 들었다.",축하 케이크,25000
2025년 12월 4일,친밀,오랜만에 연락 온 친구와 깊은 대화를 나누었다.,통신비,59000
2025년 12월 5일,혼자,조용히 혼자만의 시간을 가지며 내면을 정리했다.,미술 재료,17000
2025년 12월 6일,활기,날씨가 좋아 야외 활동을 하며 에너지를 얻었다.,자전거 수리비,29000
2025년 12월 7일,걱정,갑작스러운 지출로 인해 재정 상황에 대한 고민이 생겼다.,경조사비,50000
2025년 12월 8일,집중,방해 없이 오로지 일에만 몰두할 수 있었다.,사무용품,8500
2025년 12월 9일,신남,좋아하는 가수의 콘서트 티켓을 예매했다.,콘서트 티켓,132000
2025년 12월 10일,따뜻,추운 날씨에 따뜻한 국물을 마시며 몸을 녹였다.,따뜻한 음료,4500
2025년 12월 11일,짜증,컴퓨터가 고장나서 업무에 차질이 생겼다.,컴퓨터 수리비,75000
2025년 12월 12일,만족,스스로 만든 요리가 맛있어서 기분이 좋았다.,고급 식재료,30000
2025년 12월 13일,지침,과도한 업무량으로 인해 정신적으로 지친 하루였다.,마사지 비용,55000
2025년 12월 14일,행복,오랜만에 부모님 댁을 방문하여 맛있는 음식을 먹었다.,부모님 용돈,100000
2025년 12월 15일,재미,새로운 취미 활동을 배우며 즐거움을 느꼈다.,취미 용품,25000
2025년 12월 16일,반성,오늘 하루를 되돌아보며 개선할 점을 생각했다.,자기계발 서적,16000
2025년 12월 17일,기대,내일 있을 중요한 약속을 생각하며 잠자리에 들었다.,미용실 비용,40000
2025년 12월 18일,차분,요청받은 일기 작성을 완료하고 마음이 차분해졌다.,(오늘의 소비),0
2025년 12월 19일,신선,새로운 아침 루틴을 시작하며 하루를 상쾌하게 맞이했다.,요가 매트,33000
2025년 12월 20일,궁금,미스터리 소설을 읽으며 다음 내용이 궁금해 잠을 잊었다.,전자책 구독료,9900
2025년 12월 21일,따분,비가 와서 외출하지 못하고 집에서 시간을 보냈다.,넷플릭스 구독료,14500
2025년 12월 22일,활력,친구들과의 여행 계획을 짜며 에너지가 넘쳤다.,여행 가이드북,20000
2025년 12월 23일,흐뭇,어려운 이웃을 돕는 일에 참여하고 마음이 따뜻해졌다.,기부금,10000
2025년 12월 24일,낭만,크리스마스 이브 분위기를 만끽하며 특별한 저녁을 보냈다.,레스토랑 식사,78000
2025년 12월 25일,사랑,소중한 사람들과 함께 크리스마스를 보내며 사랑을 확인했다.,크리스마스 선물,65000
2025년 12월 26일,정리,연말을 맞아 한 해를 돌아보며 주변을 정리했다.,수납 용품,19000
2025년 12월 27일,다짐,새해 목표를 세우고 이를 이루기 위한 다짐을 했다.,다이어리 구입,14000
2025년 12월 28일,기대,곧 다가올 새해를 맞이할 생각에 마음이 부풀었다.,새해 맞이 여행 경비,150000
2025년 12월 29일,휴식,한 해 동안 수고한 나에게 보상을 주며 푹 쉬었다.,스파 이용권,80000
2025년 12월 30일,추억,지난 사진들을 보며 즐거웠던 순간들을 회상했다.,사진 인화 비용,11000
2025년 12월 31일,감격,"한 해의 마지막 날, 소중한 사람들과 카운트다운을 기다렸다.",파티 용품,23000
2026년 1월 1일,새로움,새로운 해를 맞이하며 희망찬 기분으로 하루를 시작했다.,떡국 재료,10000
2026년 1월 2일,계획,새해 계획을 구체화하며 바쁜 하루를 보냈다.,자기계발 도구,20000
2026년 1월 3일,만족,계획대로 일이 진행되어 순조로운 하루였다.,교통카드 충전,30000
2026년 1월 4일,재충전,주말을 맞아 충분한 수면을 취하며 에너지를 충전했다.,아로마 오일,13000
2026년 1월 5일,배움,새로운 지식을 습득하며 성장하는 기분을 느꼈다.,전문 서적,25000
2026년 1월 6일,활기,월요일 아침부터 힘차게 업무를 시작했다.,점심 도시락 재료,15000
