transaction_date,transaction_time,description,amount,currency,category,sub_category,payment_method,memo
2025-10-26,오전 8:30:15,스타벅스 아메리카노,4500,KRW,식비,카페,신용카드,모닝 커피
2025-10-26,오후 12:45:00,회사 근처 식당 점심,9000,KRW,식비,점심,체크카드,
2025-10-26,오후 6:10:30,지하철 이용,1450,KRW,교통,대중교통,체크카드,퇴근길
2025-10-26,오후 8:00:00,친구와 저녁 식사,25000,KRW,식비,저녁,신용카드,강남역 맛집
2025-10-27,오전 9:00:00,택시 이용,12000,KRW,교통,택시,신용카드,지각해서 택시 탐
2025-10-27,오후 7:30:00,CGV 영화 관람,15000,KRW,오락,영화,신용카드,'가계부 AI' 관람
2025-10-28,오후 2:00:00,온라인 쇼핑 (옷),78000,KRW,쇼핑,의류,신용카드,겨울 자켓 구매
2025-10-28,오후 5:20:00,마트 장보기,54000,KRW,식비,식료품,체크카드,1주일치 식량
2025-10-29,오전 11:00:00,병원 진료,8000,KRW,건강,병원,신용카드,감기몸살
2025-10-30,오전 10:00:00,월세 납부,500000,KRW,주거,월세,계좌이체,11월분 월세
2025-10-30,오전 10:05:00,관리비 납부,80000,KRW,주거,공과금,계좌이체,10월분 관리비
2025-11-01,오전 12:00:01,넷플릭스 구독료,17000,KRW,구독,OTT,신용카드,11월 구독료 자동결제
2025-11-02,오후 3:00:00,서점 (책 구매),32000,KRW,교육,도서,체크카드,'AI 데이터 분석' 책 구매
2025-11-03,오후 9:00:00,배달 음식 (치킨),22000,KRW,식비,배달/외식,신용카드,야식
2025-11-04,오후 1:00:00,편의점 간식,5500,KRW,식비,간식,현금,
2025-11-05,오전 9:00:00,주유,50000,KRW,교통,주유,신용카드,
2025-11-05,오후 6:00:00,헬스장 등록,150000,KRW,건강,운동,신용카드,3개월 등록
2025-11-05,오후 8:30:00,친구 선물 구매,35000,KRW,경조사,선물,체크카드,생일 선물
