id,localdate,title,content,userid,emotion
1,9/22/2025,마음이 무거운,"오늘 일이 생각대로 풀리지 않아 조금 속상했다. 작은 오해가 있었는데, 잘 해결되지 않아서 마음이 무겁다. 다음에는 좀 더 신중하게 행동해야겠다.",user_09,4
2,12/17/2024,절망적인 기분,계속되는 실패에 지쳤다. 아무리 노력해도 나아지지 않는 것 같다. 나는 이 일에 재능이 없는 걸까? 모든 것을 포기하고 싶다. 눈물이 멈추지 않는다.,user_03,5
3,12/8/2025,오해와 고민,"기대했던 결과가 나오지 않아서 실망감이 크다. 노력이 부족했던 것인지, 방향이 잘못되었던 것인지 고민이 된다. 다시 한번 계획을 점검해봐야겠다.",user_03,4
4,12/20/2024,마음이 무거운,"오늘 일이 생각대로 풀리지 않아 조금 속상했다. 작은 오해가 있었는데, 잘 해결되지 않아서 마음이 무겁다. 다음에는 좀 더 신중하게 행동해야겠다.",user_05,4
5,8/8/2025,무난하게,"오늘은 평소와 다름없는 하루였다. 아침에 일어나서 출근하고, 주어진 업무를 처리했다. 특별히 좋지도 나쁘지도 않은, 그저 그런 날이었다. 내일은 조금 더 활기찬 일이 있었으면 좋겠다.",user_01,3
6,12/28/2024,최고의 하루,오랜만에 만난 친구들과의 시간은 언제나 행복하다. 맛있는 음식과 끊이지 않는 대화 덕분에 스트레스가 완전히 해소되었다. 내일도 힘내서 일할 수 있을 것 같다.,user_03,1
7,8/21/2025,최고의 하루,기대했던 것보다 훨씬 좋은 결과를 얻었다. 노력은 배신하지 않는다는 말이 사실임을 다시 한번 깨달았다. 이 기세를 몰아 다음 목표도 달성할 것이다. 세상이 아름다워 보인다.,user_05,1
8,4/17/2025,행복한 재회,기대했던 것보다 훨씬 좋은 결과를 얻었다. 노력은 배신하지 않는다는 말이 사실임을 다시 한번 깨달았다. 이 기세를 몰아 다음 목표도 달성할 것이다. 세상이 아름다워 보인다.,user_03,1
9,10/11/2024,메모,"냉장고에 우유가 떨어졌다. 내일 아침에 마트에 가서 사야겠다. 메모: 우유, 계란, 식빵.",user_08,0
10,12/6/2025,괜찮은 날,"오늘 하루는 대체로 만족스러웠다. 작은 실수가 있었지만, 금방 만회할 수 있었다. 저녁에는 좋아하는 드라마를 보며 편안하게 쉬었다. 내일도 무난하게 잘 보낼 수 있기를.",user_02,2
