exercise,disease,condition,description,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46
1,벤치프레스,3,"플랫 벤치에서 바벨이나 덤벨을 사용하여 가슴 부위를 위로 밀어 올리는 운동으로, 대흉근(가슴 근육) 발달에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,인클라인 벤치프레스,3,인클라인 벤치에서 바벨이나 덤벨을 사용하여 가슴 상부를 집중적으로 발달시키는 운동입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,디클라인 벤치프레스,3,디클라인 벤치에서 바벨이나 덤벨을 사용하여 가슴 하부를 집중적으로 발달시키는 운동입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,덤벨 프레스,3,"덤벨을 사용하여 가슴을 밀어 올리는 운동으로, 가동 범위가 넓어 대흉근 발달에 효과적이며 좌우 균형 발달에 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,덤벨 플라이,2,"덤벨을 사용하여 가슴을 넓게 벌렸다가 모으는 동작으로, 대흉근의 안쪽과 바깥쪽을 스트레칭하며 발달시키는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,케이블 크로스오버,2,"케이블 머신을 사용하여 양쪽에서 가슴을 모아주는 동작으로, 대흉근 안쪽 라인을 선명하게 만드는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,푸쉬업,2,"맨몸으로 하는 대표적인 가슴 운동으로, 가슴, 어깨, 삼두근을 동시에 단련하며 코어 안정성에도 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,체스트 프레스 머신,2,"머신을 사용하여 가슴을 밀어 올리는 운동으로, 안정적인 자세로 초보자도 쉽게 가슴 근육을 단련할 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,펙덱 플라이,2,"머신을 사용하여 팔을 모아주는 동작으로, 대흉근 안쪽을 집중적으로 자극하는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,풀업,4,"철봉에 매달려 턱걸이를 하는 운동으로, 등 근육(광배근)과 팔 근육(이두근)을 강화하는 대표적인 상체 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
